,iso3c,country_name,year,time,time_unit,deaths
0,ALB,Albania,2022,6,monthly,-123
1,DZA,Algeria,2020,12,monthly,56092
2,AND,Andorra,2020,12,monthly,189983
3,ATG,Antigua and Barbuda,2021,12,monthly,50283
4,ARG,Argentina,2020,12,monthly,225468
5,ARM,Armenia,2022,9,monthly,-209328
6,ABW,Aruba,2021,12,monthly,-84596
7,AUS,Australia,2022,30,weekly,-221897
8,AUT,Austria,2022,42,weekly,-218950
9,AZE,Azerbaijan,2022,8,monthly,-210620
10,BHS,Bahamas,2021,12,monthly,63955
11,BRB,Barbados,2022,8,monthly,-210829
12,BLR,Belarus,2021,3,monthly,37478
13,BEL,Belgium,2022,41,weekly,-268795
14,BLZ,Belize,2021,12,monthly,93527
15,BMU,Bermuda,2021,12,monthly,93670
16,BOL,Bolivia,2022,1,monthly,-263512
17,BIH,Bosnia,2022,6,monthly,-262759
18,BRA,Brazil,2022,9,monthly,-32352
19,BRN,Brunei,2020,12,monthly,4689287
20,BGR,Bulgaria,2022,39,weekly,-20779
21,CPV,Cabo Verde,2020,12,monthly,4945264
22,CAN,Canada,2022,27,weekly,-36144
23,CHL,Chile,2022,43,weekly,-711972
24,COL,Colombia,2022,42,weekly,76198
25,CRI,Costa Rica,2021,12,monthly,1668135
26,HRV,Croatia,2022,39,weekly,74068
27,CUB,Cuba,2021,12,monthly,1732944
28,CYP,Cyprus,2022,40,weekly,63634
29,CZE,Czechia,2022,38,weekly,70990
30,DNK,Denmark,2022,43,weekly,71013
31,DOM,Dominican Republic,2021,10,monthly,1830236
32,ECU,Ecuador,2022,40,weekly,83999
33,EGY,Egypt,2022,8,monthly,127146
34,SLV,El Salvador,2020,8,monthly,8616758
35,EST,Estonia,2022,42,weekly,96977
36,FRO,Faroe Islands,2022,9,monthly,96968
37,FIN,Finland,2022,40,weekly,96894
38,FRA,France,2022,41,weekly,108516
39,GUF,French Guiana,2022,41,weekly,108689
40,PYF,French Polynesia,2021,12,monthly,2576337
41,GEO,Georgia,2022,6,monthly,106017
42,DEU,Germany,2022,42,weekly,122186
43,GIB,Gibraltar,2021,1,monthly,3087420
44,GRC,Greece,2022,39,weekly,127982
45,GRL,Greenland,2022,9,monthly,127961
46,GLP,Guadeloupe,2022,41,weekly,128599
47,GTM,Guatemala,2022,30,weekly,136483
48,HKG,Hong Kong,2022,7,monthly,136683
49,HUN,Hungary,2022,39,weekly,139395
50,ISL,Iceland,2022,39,weekly,139379
51,IRN,Iran,2022,40,weekly,223119
52,IRL,Ireland,2022,9,monthly,222997
53,ISR,Israel,2022,40,weekly,225085
54,ITA,Italy,2022,35,weekly,227136
55,JAM,Jamaica,2021,11,monthly,3986692
56,JPN,Japan,2022,8,monthly,173963
57,JOR,Jordan,2021,12,monthly,2430364
58,KAZ,Kazakhstan,2022,9,monthly,193828
59,KOS,Kosovo,2022,9,monthly,196026
60,KWT,Kuwait,2021,12,monthly,4700679
61,KGZ,Kyrgyzstan,2022,8,monthly,196933
62,LVA,Latvia,2022,42,weekly,197762
63,LBN,Lebanon,2021,12,monthly,4741144
64,LIE,Liechtenstein,2022,5,monthly,194363
65,LTU,Lithuania,2022,39,weekly,195280
66,LUX,Luxembourg,2022,39,weekly,195261
67,MAC,Macao,2022,9,monthly,195175
68,MYS,Malaysia,2022,9,monthly,209243
69,MDV,Maldives,2020,12,monthly,18852546
70,MLT,Malta,2022,42,weekly,208838
71,MTQ,Martinique,2022,41,weekly,209424
72,MUS,Mauritius,2022,6,monthly,209304
73,MYT,Mayotte,2022,41,weekly,209530
74,MEX,Mexico,2022,36,weekly,428943
75,MDA,Moldova,2022,5,monthly,425537
76,MCO,Monaco,2022,9,monthly,425510
77,MNG,Mongolia,2022,9,monthly,425331
78,MNE,Montenegro,2022,21,weekly,424963
79,NLD,Netherlands,2022,43,weekly,432155
80,NCL,New Caledonia,2021,12,monthly,5669828
81,NZL,New Zealand,2022,42,weekly,432115
82,NIC,Nicaragua,2020,12,monthly,21459978
83,MKD,North Macedonia,2022,8,monthly,422027
84,NOR,Norway,2022,43,weekly,421221
85,OMN,Oman,2022,9,monthly,422871
86,PSE,Palestine,2020,12,monthly,6355722
87,PAN,Panama,2021,10,monthly,5725579
88,PRY,Paraguay,2022,8,monthly,426467
89,PER,Peru,2022,40,weekly,-6330176
90,PHL,Philippines,2022,5,monthly,551283
91,POL,Poland,2022,43,weekly,606020
92,PRT,Portugal,2022,39,weekly,609489
93,PRI,Puerto Rico,2022,40,weekly,611027
94,QAT,Qatar,2022,9,monthly,611191
95,REU,R̩union,2022,41,weekly,611778
96,ROU,Romania,2022,38,weekly,628681
97,RUS,Russia,2022,9,monthly,788899
98,KNA,Saint Kitts and Nevis,2022,8,monthly,-2602720
99,VCT,Saint Vincent and the Grenadines,2021,12,monthly,7967016
100,SMR,San Marino,2022,9,monthly,788805
101,SRB,Serbia,2022,9,monthly,799366
102,SYC,Seychelles,2021,12,monthly,8034202
103,SGP,Singapore,2022,9,monthly,800568
104,SVK,Slovakia,2022,37,weekly,805203
105,SVN,Slovenia,2022,41,weekly,806549
106,ZAF,South Africa,2022,43,weekly,866854
107,KOR,South Korea,2022,30,weekly,860641
108,ESP,Spain,2022,39,weekly,873837
109,SUR,Suriname,2020,12,monthly,32621933
110,SWE,Sweden,2022,40,weekly,867887
111,CHE,Switzerland,2022,40,weekly,868607
112,TWN,Taiwan,2022,10,monthly,873528
113,TJK,Tajikistan,2020,12,monthly,33296067
114,THA,Thailand,2022,10,monthly,894009
115,TRA,Transnistria,2022,3,monthly,-3067434
116,TUN,Tunisia,2021,12,monthly,9288083
117,UKR,Ukraine,2022,1,monthly,764574
118,GBR,United Kingdom,2022,42,weekly,787310
119,USA,United States,2022,40,weekly,1134372
120,URY,Uruguay,2022,8,monthly,1134191
